id;title;city;country;wiki;coordonnees
1;"Acropole d'Athènes";Athènes;Grèce;http://fr.wikipedia.org/wiki/acropole_d'Athènes;37.9715365,23.7235605
2;"Alhambra de Grenade";Grenade;Espagne;http://fr.wikipedia.org/wiki/Alhambra_(Grenade);37.1760826,-3.59033
3;Angkor;Angkor;Cambodge;http://fr.wikipedia.org/wiki/Angkor;48.4310239,1.6872197
4;"Chichén Itzá";"Chichén Itzá";Mexique;http://fr.wikipedia.org/wiki/Chichén_Itzá;20.6842899,-88.5699713
5;"Christ Rédempteur";"Rio de Janeiro";Brésil;http://fr.wikipedia.org/wiki/Christ_Rédempteur;-22.951911,-43.2126759
6;Colisée;Rome;Italie;http://fr.wikipedia.org/wiki/Colisée;41.8902142,12.4900422
7;Maoïs;"Île de Pâques";Chili;http://fr.wikipedia.org/wiki/Maoï;-27.1437367,-109.3325796
8;"Tour Eiffel";Paris;France;http://fr.wikipedia.org/wiki/Tour_Eiffel;48.8583736,2.2922926
9;"Grande Muraille";Chine;Chine;http://fr.wikipedia.org/wiki/Grande_Muraille;40.4319118,116.5681862
10;Sainte-Sophie;Istanbul;Turquie;http://fr.wikipedia.org/wiki/Sainte-Sophie_(Constantinople);41.0078496,28.9788895
11;Kiyomizu-dera;Kyoto;Russie;http://fr.wikipedia.org/wiki/Kiyomizu-dera;34.9948605,135.7828576
12;Kremlin;Moscou;Russie;http://fr.wikipedia.org/wiki/Kremlin_de_Moscou;55.7520263,37.6153107
13;"Machu Picchu";Pérou;Pérou;http://fr.wikipedia.org/wiki/Machu_Picchu;-13.163136,-72.5471516
14;"Château de Neuschwanstein";Bavière;Allemagne;http://fr.wikipedia.org/wiki/Château_de_Neuschwanstein;47.5575776,10.7476117
15;Pétra;Pétra;Jordanie;http://fr.wikipedia.org/wiki/Pétra;30.328459,35.4421735
16;"Statue de la Liberté";New-York;États-Unis;http://fr.wikipedia.org/wiki/Statue_de_la_Liberté;40.6892534,-74.0466891
17;Stonehenge;Salisbury;Royaume-Uni;http://fr.wikipedia.org/wiki/Stonehenge;51.1788853,-1.8284037
18;"Opéra de Sydney";Sydney;Australie;http://fr.wikipedia.org/wiki/Opéra_de_Sydney;-33.8567799,151.213108
19;"Taj Mahal";Agra;Inde;http://fr.wikipedia.org/wiki/Taj_Mahal;27.1750199,78.0399665
20;Tombouctou;Tombouctou;Mali;http://fr.wikipedia.org/wiki/Tombouctou;16.7714239,-3.025489
21;"Pyramide de Khéops";"Le Caire";Égypte;http://fr.wikipedia.org/wiki/Pyramide_de_Khéops;29.9792391,31.1320132
